Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,805,1047,1289,1152,1351,1312,1224,1439,1078,1430,1253,1305
Acura NSX,31,22,26,23,30,19,10,25,16,15,11,10
Acura RLX,119,127,135,151,91,50,42,38,46,68,80,72
Acura TLX,1669,2219,3141,2096,2235,1812,1761,2252,1741,2188,2587,2847
Alfa Romeo 4C,7,16,18,27,14,9,12,13,11,6,6,6
Alfa Romeo Giulia,531,646,858,746,797,768,668,748,614,767,795,767
Audi A3,664,823,1182,681,947,831,522,705,863,942,995,1263
Audi A4,1691,1436,2652,1860,2223,2292,2579,2924,2392,2178,2056,2152
Audi A5,1651,1603,2224,1685,2251,2160,2017,2085,1646,1705,1805,2191
Audi A6,1889,1506,1963,1374,1427,1743,1246,1247,770,1252,1264,2126
Audi A7,620,474,672,441,526,409,289,331,199,294,246,454
Audi A8,284,242,261,187,190,166,114,164,109,245,465,536
Audi R8,42,55,52,30,27,62,37,35,67,61,54,52
Audi TT,11,77,122,114,153,159,165,123,112,108,91,89
BMW 2-Series,578,738,746,581,253,717,662,617,863,690,805,765
BMW 3-Series,1226,2379,4620,3642,4364,4927,3392,3984,4303,3462,6283,5245
BMW 4-Series,2842,2685,1875,1214,1340,1738,1484,1072,1452,1030,998,891
BMW 5-Series,3679,2976,3690,2857,3242,6259,2521,2534,2606,2837,2775,2733
BMW 6-Series,161,315,149,96,150,80,65,51,31,20,13,8
BMW 7-Series,454,851,988,567,1071,744,760,762,625,611,627,763
BMW 8-Series,99,138,364,275,321,325,228,271,374,421,528,1066
BMW i3,255,350,359,331,438,473,304,385,467,359,918,214
BMW i8,23,47,91,87,145,280,101,90,68,64,55,51
BMW Z4,-,-,201,271,424,417,288,285,247,310,265,233
Buick Cascada,245,236,265,426,492,394,132,147,121,26,26,25
Buick LaCrosse,955,916,1031,808,933,746,457,512,420,152,158,153
Buick Regal,1121,1076,1211,970,1119,896,808,905,743,499,516,499
Cadillac ATS,172,165,185,121,139,111,52,58,48,28,28,27
Cadillac CT5,-,-,-,-,-,-,-,-,-,-,-,43
Cadillac CT6,720,691,777,605,698,559,535,599,492,749,778,749
Cadillac CTS,799,767,863,794,916,733,371,416,341,318,330,318
Cadillac XTS,1228,1179,1327,1742,2010,1608,378,423,348,350,363,350
Chevrolet Bolt,1420,1363,1533,1289,1487,1190,1589,1779,1462,1089,1129,1089
